EN,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,sameas1,sameas2,sameas3,sameas4,sameas5
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
,0,0,0,0,0,0,0,0,0,0,,,,,
